model,series,segment,units_2025,yoy_pct
SUV-Pro,Dynasty,SUV,788003,-20.91
Sedan-Pro,Dynasty,Sedan,661090,-9.72
City-EV,Ocean,Hatchback,529537,10.48
Compact-EV,Ocean,Hatchback,400000,15.20
Crossover,Dynasty,SUV,380000,-5.10
SUV-XL,Dynasty,SUV,250000,2.40
Sedan-Full,Dynasty,Sedan,220000,-3.80
Sport-Sedan,Ocean,Sedan,180000,18.50
MPV-Mini,Dynasty,MPV,95000,120.00
MPV-Lux,Denza,MPV,86000,28.00
SUV-Coupe,Ocean,SUV,110000,250.00
Off-Road,FCB,Off-road,65000,180.00
Luxury-SUV,Yangwang,Luxury SUV,1200,-30.00
